taxonID	scientificName	parentNameUsageID	taxonRank
T101310	Glomospira irregularis	T101087	species
T101311	Mesanthemum radicans	T101312	species
T101314	Syracosphaera pulchra	T101315	species
T101318	Glinus oppositifolius	T101319	species
T101321	Oleandra distenta	T101322	species
T101324	Lepidotrigla carolae	T100018	species
T101325	Cremaspora triflora	T101326	species
T101327	Globigerina calida	T100663	species
T101328	Sporobolus pyramidalis	T101329	species
T101330	Cardamine africana	T101331	species
T101334	Egretta ardesiaca	T100724	species
T101335	Microglossa pyrifolia	T101336	species
T101337	Discoaster triradiatus	T100874	species
T101338	Caranx latus	T100001	species
T101339	Sauvagesia erecta	T101340	species
T101342	Tristemma mauritianum	T101343	species
T101345	Setaria barbata	T101346	species
T101347	Nematogobius maindroni	T101348	species
T101349	Seriola rivoliana	T100489	species
T101350	Discoaster calcaris	T100874	species
T101351	Pentapharsodinium dalei	T101352	species
T101354	Pulleniatina primalis	T100885	species
T101355	Limacina retroversa	T101356	species
T101360	Argyropelecus lynchus	T101361	species
T101362	Ceratium furca	T100983	species
T101364	Discoaster asymmetricus	T100874	species
T101365	Cecropis semirufa	T100888	species
T101366	Cyperus tenax	T101290	species
T101367	Globorotalia truncatulinoides	T100705	species
T101368	Sesuvium portulacastrum	T101369	species
T101371	Pellonula leonensis	T101372	species
T101373	Monodactylus sebae	T101374	species
T101376	Trinovantidinium applanatum	T101377	species
T101378	Globigerinoides mitra	T100110	species
T101379	Centrosema pubescens	T101380	species
T101381	Rhizophora mangle	T100957	species
T101382	Lutjanus endecacanthus	T100093	species
T101383	Impagidinium patulum	T101384	species
T101385	Cecropis senegalensis	T100888	species
T101386	Bulimina mexicana	T101387	species
T101389	Ammodiscus cretaceus	T101390	species
T101391	Eurystomus glaucurus	T101392	species
T101394	Thoracosphaera heimii	T101395	species
T101397	Argyropelecus affinis	T101361	species
T101398	Boerhavia diffusa	T101399	species
T101401	Ceratium trichoceros	T100983	species
T101402	Salacia pyriformis	T101403	species
T101406	Eleocharis geniculata	T101407	species
T101409	Flabellina arveloi	T101410	species
T101413	Pyrgo murrhina	T101414	species
T101416	Tylophora sylvatica	T101417	species
T101418	Crassocephalum montuosum	T101195	species
T101419	Mikania chenopodifolia	T101420	species
T101421	Helicosphaera euphratis	T100858	species
T101422	Gavelinopsis translucens	T101423	species
T101424	Haplophragmoides suborbicularis	T101425	species
T101427	Pouzolzia guineensis	T101428	species
T101429	Polykrikos kofoidii	T101430	species
T101435	Globorotalia juanai	T100705	species
T101437	Pluvialis squatarola	T101438	species
T101439	Bulbostylis hispidula	T101440	species
T101441	Photostomias atrox	T101442	species
T101443	Pseudosolenia calcar-avis	T101444	species
T101449	Hirundichthys affinis	T101450	species
T101453	Adiantum philippense	T101454	species
T101455	Panicum parvifolium	T101140	species
T101456	Impagidinium aculeatum	T101384	species
T101457	Centella asiatica	T101458	species
T101459	Syacium micrurum	T100119	species
T101460	Entada gigas	T101461	species
T101462	Liza grandisquamis	T101037	species
T101463	Conopea saotomensis	T101464	species
T101467	Cyperus dilatatus	T101290	species
T101468	Saccammina sphaerica	T101469	species
T101471	Melonis barleeanus	T101472	species
T101473	Cribrostomoides subglobosa	T101474	species
T101476	Sphaeroidinellopsis disjuncta	T100717	species
T101477	Lagenammina tubulata	T101478	species
T101482	Melonis parkerae	T101472	species
T101483	Mirafra rufocinnamomea	T101484	species
T101486	Boehmeria macrophylla	T101308	species
T101487	Cycloleberis squamiger	T101488	species
T101492	Salacia alata	T101403	species
T101493	Lagenammina tabulata	T101478	species
T101494	Avicennia africana	T100920	species
T101495	Globocassidulina subglobosa	T101496	species
T101497	Pittosporum viridiflorum	T101498	species
T101500	Globorotalia theyeri	T100705	species
T101501	Mostuea brunonis	T101502	species
T101504	Sula leucogaster	T101505	species
